songid,songname,length,popularity
3QybPutx0Tjk472bBKjNWn,Mo Bamba,180,0
6jmTHeoWvBaSrwWttr8Xvu,I Mean It (feat. Remo),236,68
5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),232,70
4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),127,72
7eBqSVxrzQZtK2mmgRG6lC,Murder on My Mind,268,78
3oh6SCCeLuXhFpEyepla6G,Thotiana,129,0
7fBv7CLKzipRk6EC6TWHOB,The Hills,242,87
7MXVkk9YMctZqd1Srtv4MB,Starboy,230,91
2Xqd0wUttjueBfdcltADOv,No Limit,245,0
53CJANUxooaqGOtdsBTh7O,Old Town Road,113,23
2JI71GHwq2LN8mtq3iCLYo,CoCo,239,60
3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),221,76
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),229,84
40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",251,77
5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,326,78
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,233,87
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,196,81
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,213,83
1Ser4X0TKttOvo8bgdytTP,Come Get Her,212,73
5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",207,76
1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),209,79
2Fxmhks0bxGSBdJ92vM42m,bad guy,194,82
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,158,83
4Q3N4Ct4zCuIHuZ65E3BD4,Tunnel Vision,268,73
2ANLarE8yHVsLWW21nj79M,You Was Right,163,65
7oJrVhiTPZGBXWPwhxjy9S,Lust,156,71
4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",243,75
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,223,78
1qzckO538IWjqa7eCQdSJ4,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,211,47
1xMvdOFQaql3EBkHmuh2TK,Batman,156,67
03ERnTvSV5fy8WAyvA4uNP,Big Gangsta,243,62
4Js2MCBgl8wupEjKewj0kT,This Is Why I'm Hot,151,56
2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),205,77
6225vlQNgif1W5dE5KN6Y6,Slum Anthem,171,57
5QbzvnhnS0CZMHjFGIwfHd,On the River (feat. Wiz Khalifa),198,67
4P6BuLsqtg5uISdE77ypI9,Ayy Ladies (feat. Tyga),211,66
4knL4iPxPOZjQzTUlELGSY,Rake It Up (feat. Nicki Minaj),276,64
2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,248,79
0vzSAyinyA619ZbrOaAi04,Steal My Love,162,55
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),242,79
0Z2J91b2iTGLVTZC4fKgxf,Hit 'Em Up - Single Version,312,79
18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,165,79
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),155,69
0n4bITAu0Y0nigrz3MFJMb,Blurred Lines,263,75
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,242,17
4DuUwzP4ALMqpquHU0ltAB,Tyler Herro,156,64
5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyonc),242,64
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),257,74
591ks2A0o7ratTpiRdI7M6,Heart On Ice,159,71
2OcLr0onQU36t5oQ5NTMpy,PTPOM (No bologna) - Remix,162,51
6SDAOIs8wLJvhEXcIMgm5f,Something Bout Me,163,55
5GPm7PsMQwceQvfYlGXcCt,"Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version",241,57
5880eYQmXx3c3oD22IljIt,Why We Thugs,224,65
3zpV1pF29S3jPGNY1J8HZo,Don't Say,155,3
4y35lEbyqHAuVEVMe4waSE,Losers,131,0
02kDW379Yfd5PzW5A6vuGt,Lemonade,195,18
7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),252,71
33OeHNGJA124QytVD0BeQK,SKAT (feat. DaBaby),231,53
4TIqzdAssasqx3DAe6cG9J,Ramen & OJ,218,70
627IFsuW7eFp9Mj5dg5cQr,Bust It Down,222,0
20on25jryn53hWghthWWW3,Do It To It,157,79
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),141,82
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),190,77
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,238,87
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),261,77
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,160,80
21AJQhGZpujjZQXByZAXpr,REPEAT IT (with Gunna),190,62
5uA5D9o5jGFuITTw3aXQgB,Fair Trade (with Travis Scott),291,53
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),181,76
7GZXPa81LzAgzmVg9G6BUM,A-O-K - with 24kGoldn,181,0
39jxVaEhI8R7csdu7GAjmL,Get Crunk,257,45
1bTphHXspys3RvvRxfzzIc,What U Gon' Do,320,56
41PWz0hAiU9FqsmjR9Wh62,Lovers And Friends,260,69
7MSwclTvW6KLLkTbmw9FUQ,Throw It Up,372,55
3HnhrVBybVBzp9yEQcAzfC,Real N***A Roll Call,308,49
4X13MIZR2P4mon0udxgKhW,Knockin' Heads Off,317,40
6LmDWlzYKzg6Y3lbuV4jgw,B---h,298,30
2QJsUSpI6tuKFiKJKOLfOU,Cadillac Pimpin' - Main,250,30
4ubprxt14HoeppCGViXXfN,Livin' in the Projects,254,32
