artistid,songid
64KEffDW9EtZ1y2vBYgq8T,5rK0pyEObO4DBFLy682QvR
4MCBfE4596Uoi2O4DtmEMz,285pBltuF7vW8TeWk8hdRR
6oMuImdp5ZcFhWP0ESe6mG,6p8NuHm8uCGnn2Dtbtf7zE
13y7CgLHjMVRMDqxdx0Xdo,6p8NuHm8uCGnn2Dtbtf7zE
1pPmIToKXyGdsCF6LmqLmI,1ZAyjvIk9YiD76yYy0TEG6
0A0FS04o6zMoto8OKPsDwY,3SZqA7rQvROJsCbUu2v0xa
5LHRHt1k9lMyONurDHEdrp,3SZqA7rQvROJsCbUu2v0xa
5bWUlnPx9OYKsLiUJrhCA1,3SZqA7rQvROJsCbUu2v0xa
4r63FhuTkUYltbVAg5TQnk,2gwkD6igEhQbDQegRCcdoB
4r63FhuTkUYltbVAg5TQnk,7f1zjZG77S891Uv4O68yfk
4DdkRBBYG6Yk9Ka8tdJ9BW,7f1zjZG77S891Uv4O68yfk
4qBgvVog0wzW75IQ48mU7v,6xbraxG0bSBOuAr5IUXmtM
6icQOAFXDZKsumw3YXyusw,6xbraxG0bSBOuAr5IUXmtM
4TEJudQY2pXxVHPE3gD2EU,4qKcDkK6siZ7Jp1Jb4m0aL
3TVXtAsR1Inumwj472S9r4,4qKcDkK6siZ7Jp1Jb4m0aL
3BbPRvYQ0M9SFmhkHXozLm,3AEgic4yp82NxMWUjHtxnO
3TVXtAsR1Inumwj472S9r4,5ry2OE6R2zPQFDO85XkgRb
1sBkRIssrMs1AbVkOJbc7a,5ry2OE6R2zPQFDO85XkgRb
4Ga1P7PMIsmqEZqhYZQgDo,1kBbgxAUc4HQv7cgIayIDH
5K4W6rqBFWDnAN6FQUkS6x,4qikXelSRKvoCqFcHLB2H2
0c173mlxpT3dSFRgMO8XPh,4qikXelSRKvoCqFcHLB2H2
0ONHkAv9pCAFxb0zJwDNTy,4qikXelSRKvoCqFcHLB2H2
17lzZA2AlOHwCwFALHttmp,4qikXelSRKvoCqFcHLB2H2
7jVv8c5Fj3E9VhNjxT4snq,6fTt0CH2t0mdeB2N9XFG5r
15UsOTVnJzReFVN1VCnxy4,7floNISpH8VF4z4459Qo18
2hWs22BmQkK4czFtDLnar2,5uDASfU19gDxSjW8cnCaBp
1rs3y69kDwkIdGJcOYngQt,5uDASfU19gDxSjW8cnCaBp
36Tn5h23ysORlLKc42UXfe,5uDASfU19gDxSjW8cnCaBp
6l3HvQ5sa6mXTsMTB19rO5,6onwlDmIVKE8bBgyBRSuS0
3EWxytcxaM0tksU6v3je2Q,6onwlDmIVKE8bBgyBRSuS0
0A0FS04o6zMoto8OKPsDwY,5IjRKZlpKVBBRn0COL7pik
6d47Z08T4snK50HgTEHo5Z,1UMKquW1olreYO1LlLmTqi
2ZavqCJe7uqkRpISes0NFi,1UMKquW1olreYO1LlLmTqi
3TVXtAsR1Inumwj472S9r4,23NWj2izXAJ4yL6Nah73wf
7bkdi7f1mxyYxWcBlwON4s,23NWj2izXAJ4yL6Nah73wf
6USMTwO0MNDnKte5a5h0xx,07rmSXN6vNoquX1AsWd9pP
41X1TR6hrK8Q2ZCpp2EqCz,07rmSXN6vNoquX1AsWd9pP
6oMuImdp5ZcFhWP0ESe6mG,2n5gVJ9fzeX2SSWlLQuyS9
0Y5tJX1MQlPlqiwlOH1tJY,20MuVazoNMv6xjKPnRFOxG
55Aa2cqylxrFIXC767Z865,7tGlzXJv6GD5e5qlu5YmDg
3TVXtAsR1Inumwj472S9r4,7tGlzXJv6GD5e5qlu5YmDg
1RyvyyTE3xzB2ZywiAwp0i,7tGlzXJv6GD5e5qlu5YmDg
5IcR3N7QB1j6KBL8eImZ8m,6tByydPskASjm9jTPkNQq0
0ErzCpIMyLcjPiwT4elrtZ,4sWuPniHClkInYAnzXAYUF
1anyVhU62p31KFi8MEzkbf,00ko9WaS4jOX1kEk3gvHjf
5SyGEPymt1G2uto47tVWvZ,00ko9WaS4jOX1kEk3gvHjf
4r63FhuTkUYltbVAg5TQnk,00ko9WaS4jOX1kEk3gvHjf
3Gm5F95VdRxW3mqCn8RPBJ,5hTpBe8h35rJ67eAWHQsJx
68kEuyFKyqrdQQLLsmiatm,41uX0L4bro4KfKtDIIEFFe
0ZJsvv5q5aTXullsMDvlyd,13jHiHnThQnn6TO4XE0gdh
3o46fnUhyOOORB1xfW1Bmh,13jHiHnThQnn6TO4XE0gdh
7iZtZyCzp3LItcw1wtPI3D,6fujklziTHa8uoM5OQSfIo
13y7CgLHjMVRMDqxdx0Xdo,6fujklziTHa8uoM5OQSfIo
1gPhS1zisyXr5dHTYZyiMe,0wdKiSBUT7aZkXUIdJWcwC
6PXS4YHDkKvl1wkIl4V8DL,5NQbUaeTEOGdD6hHcre0dZ
2s0yxtiHiyGe6CY4mbDYFi,5NQbUaeTEOGdD6hHcre0dZ
246dkjvS1zLTtiykXe5h60,6syOdAs4IK8kPWR7gDyjRw
0VRj0yCOv2FXJNP47XQnx5,6syOdAs4IK8kPWR7gDyjRw
7c0XG5cIJTrrAgEC3ULPiq,7t2bFihaDvhIrd2gn2CWJO
1Xyo4u8uXC1ZmMpatF05PJ,7t2bFihaDvhIrd2gn2CWJO
137W8MRPWKqSmrBGDBFSop,7t2bFihaDvhIrd2gn2CWJO
0YinUQ50QDB7ZxSCLyQ40k,7t2bFihaDvhIrd2gn2CWJO
4O15NlyKLIASxsJ0PrXPfz,2eMwDehkIC1j68U6FA3Eiq
